key,zh-Hant,en,ja,ko,ru,vi,zh-Hans
連江,連江,Lienchiang,,,,,
宜蘭,宜蘭,Yilan,,,,,
彰化,彰化,Changhua,,,,,
南投,南投,Nantou,,,,,
雲林,雲林,Yunlin,,,,,
屏東,屏東,Pingtung,,,,,
基隆,基隆,Keelung,,,,,
臺北,臺北,Taipei,,,,,
新北,新北,New Taipei,,,,,
臺南,臺南,Tainan,,,,,
桃園,桃園,Taoyuan,,,,,
嘉義,嘉義,Chiayi,,,,,
嘉義,嘉義,Chiayi,,,,,
金門,金門,Kinmen,,,,,
高雄,高雄,Kaohsiung,,,,,
臺東,臺東,Taitung,,,,,
花蓮,花蓮,Hualien,,,,,
澎湖,澎湖,Penghu,,,,,
新竹,新竹,Hsinchu,,,,,
臺中,臺中,Taichung,,,,,
苗栗,苗栗,Miaoli,,,,,
新竹,新竹,Hsinchu,,,,,
成功,成功,Chenggong,,,,,
佳冬,佳冬,Jiadong,,,,,
麥寮,麥寮,Mailiao,,,,,
綠島,綠島,Lüdao,,,,,
蘭嶼,蘭嶼,Lanyu,,,,,
田中,田中,Tianzhong,,,,,
社頭,社頭,Shetou,,,,,
竹田,竹田,Zhutian,,,,,
萬丹,萬丹,Wandan,,,,,
三灣,三灣,Sanwan,,,,,
峨眉,峨眉,Emei,,,,,
南庄,南庄,Nanzhuang,,,,,
太保,太保,Taibao,,,,,
中埔,中埔,Zhongpu,,,,,
番路,番路,Fanlu,,,,,
水上,水上,Shuishang,,,,,
員林,員林,Yuanlin,,,,,
小港,小港,Xiaogang,,,,,
蘇澳,蘇澳,Su'ao,,,,,
五結,五結,Wujie,,,,,
宜蘭,宜蘭,Yilan,,,,,
壯圍,壯圍,Zhuangwei,,,,,
南竿,南竿,Nangan,,,,,
莒光,莒光,Juguang,,,,,
烏坵,烏坵,Wuqiu,,,,,
羅東,羅東,Luodong,,,,,
員山,員山,Yuanshan,,,,,
冬山,冬山,Dongshan,,,,,
三星,三星,Sanxing,,,,,
大同,大同,Datong,,,,,
竹東,竹東,Zhudong,,,,,
