key,zh-Hant,en,ja,ko,ru,vi,zh-Hans
466850,五分山雷達站,Wufenshan,,,,,
466881,新北,New Taipei,,,,,
466900,淡水,Tamsui,,,,,
466910,鞍部,Anbu,,,,,
466920,臺北,Taipei,,,,,
466930,竹子湖,Zhuzihu,,,,,
466940,基隆,Keelung,,,,,
466950,彭佳嶼,Pengjiayu,,,,,
466990,花蓮,Hualien,,,,,
467050,新屋,Xinwu,,,,,
467080,宜蘭,Yilan,,,,,
467110,金門,Kinmen,,,,,
467270,田中,Tianzhong,,,,,
467280,後龍,Houlong,,,,,
467290,古坑,Gukeng,,,,,
467300,東吉島,Dongjidao,,,,,
467350,澎湖,Penghu,,,,,
467410,臺南,Tainan,,,,,
467420,永康,Yongkang,,,,,
467441,高雄,Kaohsiung,,,,,
467480,嘉義,Chiayi,,,,,
467490,臺中,Taichung,,,,,
467530,阿里山,Alishan,,,,,
467540,大武,Dawu,,,,,
467550,玉山,Yushan,,,,,
467571,新竹,Hsinchu,,,,,
467590,恆春,Hengchun,,,,,
467610,成功,Chenggong,,,,,
467620,蘭嶼,Lanyu,,,,,
467650,日月潭,Sun Moon Lake,,,,,
467660,臺東,Taitung,,,,,
467790,墾丁雷達站,Kenting,,,,,
467990,馬祖,Matsu,,,,,
12J990,口湖工作站,Kouhu Branch Station,,,,,
12Q970,東港工作站,Donggang Branch,,,,,
12Q980,恆春工作站,Hengchun Branch,,,,,
42HA10,萬大發電廠,Wanta Hydro,,,,,
72AI40,桃改樹林分場,Shulin Sub-station Of Taoyuan ARES,,,,,
72C440,桃園農改場,,,,,,
72D080,桃改五峰分場,Wufeng Sub-station Of Taoyuan ARES,,,,,
72D680,桃改新埔分場,Sinpu Sub-station Of Taoyuan ARES,,,,,
72G600,臺中農改場,Ta Tsun,,,,,
72HA00,中改埔里分場,Puli Sub-station Of Taichung ARES,,,,,
72K220,南改斗南分場,Dounan Sub-station Of Tainan ARES,,,,,
72M360,南改義竹分場,Yichu Sub-station Of Tainan ARES,,,,,
72M700,南改鹿草分場,Lucao Sub-station Of Tainan ARES,,,,,
72N100,臺南農改場,Tainan,,,,,
72N240,七股研究中心,Qigu Research Center,,,,,
72Q010,高雄農改場,Pingtung,,,,,
72S200,東改班鳩分場,Banjuou Sub-station Of Taitung ARES ,,,,,
72S590,東改賓朗果園,Binlung Orchard Sub-station Of Taitung ARES ,,,,,
72T250,花蓮農改場,Gi An,,,,,
72U480,花改蘭陽分場,Lanyang Sub-station Of Hualien ARES,,,,,
72V140,高改旗南分場,Chinan Sub-station Of Kaohsiung ARES,,,,,
82A750,茶改北部分場,North Branch Of TBRS,,,,,
82C160,茶改場,Tea And Beverage Research Station,,,,,
82H320,茶改中部分場,Middle Branch Of TRES,,,,,
82H840,茶改南部分場,South Branch Of TBRS,,,,,
82S580,茶改東部分場,East Branch Of TBRS,,,,,
A2C560,農工中心,,,,,,
A2K360,水試臺西試驗場,Taixi Experimental Fishing Ground,,,,,
A2K630,臺大雲林校區,Yunlin Branch Of NTU,,,,,
A2N290,臺南蘭花園區,Taiwan Orchid,,,,,
B2E890,畜試北區分所,North Branch Of TLRI,,,,,
B2N890,畜產試驗所,Hsin Hua,,,,,
B2Q810,畜試南區分所,South Branch Of TLRI,,,,,
B2U990,畜試東區分所,East Branch Of TLRI,,,,,
C2A540,四堵,Sihdu,,,,,
C2A560,福山,Fushan,,,,,
C2A650,火燒寮,Huoshaoliao,,,,,
C2A660,瑞芳,Rueifang,,,,,
C2A880,福隆,Fulong,,,,,
C2A920,富貴角,Fugueijiao,,,,,
C2C410,中央大學,Ncu,,,,,
C2D720,關西工作站,Guanxi Experiment Station,,,,,
C2D730,寶山農場,Baoshan Farm,,,,,
C2D740,屯原,Tunyuan,,,,,
C2E520,大湖,Dahu,,,,,
C2E540,龍溪,Longxi,,,,,
C2E880,三義,Sanyi,,,,,
C2E970,八甲,Bajia,,,,,
C2F000,大肚,Dadu,,,,,
C2F860,梨山,Lishan,,,,,
C2F930,大甲,Dajia,,,,,
C2F990,摩天嶺,Motianling,,,,,
C2F9A0,中竹林,Zhongzhulin,,,,,
C2FA00,烏石坑,Wushihkeng,,,,,
C2FB50,出雲,Chuyun,,,,,
C2FB60,頭櫃山,Touguishan,,,,,
C2G640,鹿港,Lukang,,,,,
C2G840,北斗,Beidou,,,,,
C2G870,芳苑,Fangyuan,,,,,
C2G980,田頭村,Toutian Village,,,,,
C2G9A0,畜試所彰化,Changhua Branch Of TLRI,,,,,
C2H950,中寮,Zhongliao,,,,,
C2H9D0,三隻寮,Sanziliao,,,,,
C2H9E0,國姓南港,Guoxing Nangang,,,,,
C2H9F0,柑林,Ganlin,,,,,
C2H9G0,百勝,Bosheng,,,,,
C2H9H0,苗改南投蜂場,Nantou Bee Farm Of Miaoli TARI,,,,,
C2H9J0,中台,Zhongtai,,,,,
C2H9L0,馬烈霸,Malieba,,,,,
C2H9M0,發祥,Faxiang,,,,,
C2H9N0,仁愛東眼,Renaidong,,,,,
C2H9P0,伊拿谷,Yinagu,,,,,
C2H9Q0,北東眼山,Beidongyanshan,,,,,
C2H9R0,卓社,Zhuoshe,,,,,
C2H9S0,龍南,Longnan,,,,,
C2H9T0,名間竹圍,Mingjianzhuwei,,,,,
C2H9U0,鳳鵬,Fengpeng,,,,,
C2H9W0,大坪頂農水,Dapingding Station,,,,,
C2I090,鳳凰,Fenghuang,,,,,
C2K240,草嶺,Caoling,,,,,
C2K610,草嶺石壁,Caolingshibi,,,,,
C2K620,馬光農場,Maguang Organic Agriculture Circular Park,,,,,
C2K630,荷苞,Hebao,,,,,
C2M410,馬頭山,Matoushan,,,,,
C2M620,瑞里,Ruili,,,,,
C2M910,嘉義大學,Chiayi University,,,,,
C2M920,朴子農改,Pozi DARES,,,,,
C2M930,石卓,Shizhuo,,,,,
C2M940,日野賀,Riyehe,,,,,
C2M950,太和,Taihe,,,,,
C2M960,外寮,Wailiao,,,,,
C2M970,碧湖,Bihu,,,,,
C2N160,西拉雅風管處,Siraya NSAH,,,,,
C2O810,曾文,Cengwen,,,,,
C2O930,玉井,Yujing,,,,,
C2O950,安南,Annan,,,,,
C2R170,屏東,Pingdong,,,,,
C2R970,屏科大,National Pingtung University,,,,,
C2V250,甲仙,Jiaxian,,,,,
C2V260,月眉,Yuemei,,,,,
C2V310,美濃,Meinong,,,,,
C2W030,金門農試所,Kimmann,,,,,
C2W230,畜試所澎湖,Penghu Field Area Of TLRI,,,,,
CAG100,王功漁港,Wanggong Fishing Port,,,,,
CAH030,茶改場竹圍站,TRES Chuwei Station,,,,,
CAJ050,海口故事園區,Haikou Story Camping Park,,,,,
CAL110,布袋國中,Budai Junior High School,,,,,
CAN130,水試所海水繁養殖中心,Mariculture Research Center,,,,,
CAN140,六官養殖協會,Liuguan Aquaculture,,,,,
