"key","zh-Hant","en","ja","ko","ru","vi","zh-Hans"
"466850","五分山雷達站","Wufenshan","五分山雷達站","五分山雷達站","五分山雷達站","五分山雷達站","五分山雷达站"
"466881","新北","New Taipei","新北","新北","新北","新北","新北"
"466900","淡水","Tamsui","淡水","淡水","淡水","淡水","淡水"
"466910","鞍部","Anbu","鞍部","鞍部","鞍部","鞍部","鞍部"
"466920","臺北","Taipei","台北","臺北","臺北","臺北","台北"
"466930","竹子湖","Zhuzihu","竹子湖","竹子湖","竹子湖","竹子湖","竹子湖"
"466940","基隆","Keelung","基隆","基隆","基隆","基隆","基隆"
"466950","彭佳嶼","Pengjiayu","彭佳嶼","彭佳嶼","彭佳嶼","彭佳嶼","彭佳屿"
"466990","花蓮","Hualien","花蓮","花蓮","花蓮","花蓮","花莲"
"467050","新屋","Xinwu","新屋","新屋","新屋","新屋","新屋"
"467080","宜蘭","Yilan","宜蘭","宜蘭","宜蘭","宜蘭","宜兰"
"467110","金門","Kinmen","金門","金門","金門","金門","金门"
"467270","田中","Tianzhong","田中","田中","田中","田中","田中"
"467280","後龍","Houlong","後龍","後龍","後龍","後龍","后龙"
"467290","古坑","Gukeng","古坑","古坑","古坑","古坑","古坑"
"467300","東吉島","Dongjidao","東吉島","東吉島","東吉島","東吉島","东吉岛"
"467350","澎湖","Penghu","澎湖","澎湖","澎湖","澎湖","澎湖"
"467410","臺南","Tainan","台南","臺南","臺南","臺南","台南"
"467420","永康","Yongkang","永康","永康","永康","永康","永康"
"467441","高雄","Kaohsiung","高雄","高雄","高雄","高雄","高雄"
"467480","嘉義","Chiayi","嘉義","嘉義","嘉義","嘉義","嘉义"
"467490","臺中","Taichung","台中","臺中","臺中","臺中","台中"
"467530","阿里山","Alishan","阿里山","阿里山","阿里山","阿里山","阿里山"
"467540","大武","Dawu","大武","大武","大武","大武","大武"
"467550","玉山","Yushan","玉山","玉山","玉山","玉山","玉山"
"467571","新竹","Hsinchu","新竹","新竹","新竹","新竹","新竹"
"467590","恆春","Hengchun","恒春","恆春","恆春","恆春","恒春"
"467610","成功","Chenggong","成功","成功","成功","成功","成功"
"467620","蘭嶼","Lanyu","蘭嶼","蘭嶼","蘭嶼","蘭嶼","兰屿"
"467650","日月潭","Sun Moon Lake","日月潭","日月潭","日月潭","日月潭","日月潭"
"467660","臺東","Taitung","台東","臺東","臺東","臺東","台东"
"467790","墾丁雷達站","Kenting","墾丁雷達站","墾丁雷達站","墾丁雷達站","墾丁雷達站","垦丁雷达站"
"467990","馬祖","Matsu","馬祖","馬祖","馬祖","馬祖","马祖"
"12J990","口湖工作站","Kouhu Branch Station","口湖工作站","口湖工作站","口湖工作站","口湖工作站","口湖工作站"
"12Q970","東港工作站","Donggang Branch","東港工作站","東港工作站","東港工作站","東港工作站","东港工作站"
"12Q980","恆春工作站","Hengchun Branch","恆春工作站","恆春工作站","恆春工作站","恆春工作站","恒春工作站"
"42HA10","萬大發電廠","Wanta Hydro","萬大發電廠","萬大發電廠","萬大發電廠","萬大發電廠","万大发电厂"
"72AI40","桃改樹林分場","Shulin Sub-station Of Taoyuan ARES","桃改樹林分場","桃改樹林分場","桃改樹林分場","桃改樹林分場","桃改树林分场"
"72C440","桃園農改場","桃園農改場","桃園農改場","桃園農改場","桃園農改場","桃園農改場","桃园农改场"
"72D080","桃改五峰分場","Wufeng Sub-station Of Taoyuan ARES","桃改五峰分場","桃改五峰分場","桃改五峰分場","桃改五峰分場","桃改五峰分场"
"72D680","桃改新埔分場","Sinpu Sub-station Of Taoyuan ARES","桃改新埔分場","桃改新埔分場","桃改新埔分場","桃改新埔分場","桃改新埔分场"
"72G600","臺中農改場","Ta Tsun","臺中農改場","臺中農改場","臺中農改場","臺中農改場","台中农改场"
"72HA00","中改埔里分場","Puli Sub-station Of Taichung ARES","中改埔里分場","中改埔里分場","中改埔里分場","中改埔里分場","中改埔里分场"
"72K220","南改斗南分場","Dounan Sub-station Of Tainan ARES","南改斗南分場","南改斗南分場","南改斗南分場","南改斗南分場","南改斗南分场"
"72M360","南改義竹分場","Yichu Sub-station Of Tainan ARES","南改義竹分場","南改義竹分場","南改義竹分場","南改義竹分場","南改义竹分场"
"72M700","南改鹿草分場","Lucao Sub-station Of Tainan ARES","南改鹿草分場","南改鹿草分場","南改鹿草分場","南改鹿草分場","南改鹿草分场"
"72N100","臺南農改場","Tainan","臺南農改場","臺南農改場","臺南農改場","臺南農改場","台南农改场"
"72N240","七股研究中心","Qigu Research Center","七股研究中心","七股研究中心","七股研究中心","七股研究中心","七股研究中心"
"72Q010","高雄農改場","Pingtung","高雄農改場","高雄農改場","高雄農改場","高雄農改場","高雄农改场"
"72S200","東改班鳩分場","Banjuou Sub-station Of Taitung ARES ","東改班鳩分場","東改班鳩分場","東改班鳩分場","東改班鳩分場","东改斑鸠分场"
"72S590","東改賓朗果園","Binlung Orchard Sub-station Of Taitung ARES ","東改賓朗果園","東改賓朗果園","東改賓朗果園","東改賓朗果園","东改宾朗果园"
"72T250","花蓮農改場","Gi An","花蓮農改場","花蓮農改場","花蓮農改場","花蓮農改場","花莲农改场"
"72U480","花改蘭陽分場","Lanyang Sub-station Of Hualien ARES","花改蘭陽分場","花改蘭陽分場","花改蘭陽分場","花改蘭陽分場","花改兰阳分场"
"72V140","高改旗南分場","Chinan Sub-station Of Kaohsiung ARES","高改旗南分場","高改旗南分場","高改旗南分場","高改旗南分場","高改旗南分场"
"82A750","茶改北部分場","North Branch Of TBRS","茶改北部分場","茶改北部分場","茶改北部分場","茶改北部分場","茶改北部分场"
"82C160","茶改場","Tea And Beverage Research Station","茶改場","茶改場","茶改場","茶改場","茶改场"
"82H320","茶改中部分場","Middle Branch Of TRES","茶改中部分場","茶改中部分場","茶改中部分場","茶改中部分場","茶改中部分场"
"82H840","茶改南部分場","South Branch Of TBRS","茶改南部分場","茶改南部分場","茶改南部分場","茶改南部分場","茶改南部分场"
"82S580","茶改東部分場","East Branch Of TBRS","茶改東部分場","茶改東部分場","茶改東部分場","茶改東部分場","茶改东部分场"
"A2C560","農工中心","農工中心","農工中心","農工中心","農工中心","農工中心","农工中心"
"A2K360","水試臺西試驗場","Taixi Experimental Fishing Ground","水試臺西試驗場","水試臺西試驗場","水試臺西試驗場","水試臺西試驗場","水改台西试验场"
"A2K630","臺大雲林校區","Yunlin Branch Of NTU","臺大雲林校區","臺大雲林校區","臺大雲林校區","臺大雲林校區","台大云林校区"
"A2N290","臺南蘭花園區","Taiwan Orchid","臺南蘭花園區","臺南蘭花園區","臺南蘭花園區","臺南蘭花園區","台南兰花园区"
"B2E890","畜試北區分所","North Branch Of TLRI","畜試北區分所","畜試北區分所","畜試北區分所","畜試北區分所","蓄试北区分所"
"B2N890","畜產試驗所","Hsin Hua","畜產試驗所","畜產試驗所","畜產試驗所","畜產試驗所","畜产试验所"
"B2Q810","畜試南區分所","South Branch Of TLRI","畜試南區分所","畜試南區分所","畜試南區分所","畜試南區分所","蓄试南区分所"
"B2U990","畜試東區分所","East Branch Of TLRI","畜試東區分所","畜試東區分所","畜試東區分所","畜試東區分所","蓄试东区分所"
"C2A540","四堵","Sihdu","四堵","四堵","四堵","四堵","四堵"
"C2A560","福山","Fushan","福山","福山","福山","福山","福山"
"C2A650","火燒寮","Huoshaoliao","火燒寮","火燒寮","火燒寮","火燒寮","火烧寮"
"C2A660","瑞芳","Rueifang","瑞芳","瑞芳","瑞芳","瑞芳","瑞芳"
"C2A880","福隆","Fulong","福隆","福隆","福隆","福隆","福隆"
"C2A920","富貴角","Fugueijiao","富貴角","富貴角","富貴角","富貴角","富贵角"
"C2C410","中央大學","Ncu","中央大学","中央大學","中央大學","中央大學","中央大学"
"C2D720","關西工作站","Guanxi Experiment Station","關西工作站","關西工作站","關西工作站","關西工作站","关西工作站"
"C2D730","寶山農場","Baoshan Farm","寶山農場","寶山農場","寶山農場","寶山農場","宝山农场"
"C2D740","屯原","Tunyuan","屯原","屯原","屯原","屯原","屯原"
"C2E520","大湖","Dahu","大湖","大湖","大湖","大湖","大湖"
"C2E540","龍溪","Longxi","龍溪","龍溪","龍溪","龍溪","龙溪"
"C2E880","三義","Sanyi","三義","三義","三義","三義","三义"
"C2E970","八甲","Bajia","八甲","八甲","八甲","八甲","八甲"
"C2F000","大肚","Dadu","大肚","大肚","大肚","大肚","大肚"
"C2F860","梨山","Lishan","梨山","梨山","梨山","梨山","梨山"
"C2F930","大甲","Dajia","大甲","大甲","大甲","大甲","大甲"
"C2F990","摩天嶺","Motianling","摩天嶺","摩天嶺","摩天嶺","摩天嶺","摩天岭"
"C2F9A0","中竹林","Zhongzhulin","中竹林","中竹林","中竹林","中竹林","中竹林"
"C2FA00","烏石坑","Wushihkeng","烏石坑","烏石坑","烏石坑","烏石坑","乌石坑"
"C2FB50","出雲","Chuyun","出雲","出雲","出雲","出雲","出云"
"C2FB60","頭櫃山","Touguishan","頭櫃山","頭櫃山","頭櫃山","頭櫃山","头柜山"
"C2G640","鹿港","Lukang","鹿港","鹿港","鹿港","鹿港","鹿港"
